Number,Letter,Species Name
1,ARAD,Aristida adscensionis
2,PAHI,Panicum hirticaule
3,CHVI,Chloris virgata
4,ERNE,Eragrostis lehmanniana
5,TRCA,Trichachne californica
6,MUPO,Muhlenbergia porteri
7,PASP,Panicum sp.
8,ARLO,Aristida longiseta
9,PAMI,Panicum miliaceum
10,ENDE,Enneapogon desvauxii
11,SPCO,Sprorobolus contractus
12,ARGL,Aristidia glauca
13,ERLE,Eragrostis intermedia
14,BOER,Bouteloua eriopoda
15,SEMA,Setaria macrostachya
16,ENDE,same as 10
17,LYPH,Lycurus phleoides
18,ERCI,Eragrostis cilianensis
19,GSHR,06 plus shrub
20,TRPU,Triden pulchellus
21,BOAR,Bouteloua aristidoides
22,BOBA,Boutelousa barbata
23,PAAR,Panicum arizonicum
24,TRBE,
25,BOCU,Bouteloua curtipendula (not on plots)
26,OPSA,open sand
27,OPRO,open rock
28,HEPL,herbaceous plant
29,FLCE,Flourensia cernua
30,EPTR,Ephedra
31,PRJU,Prosopis
32,ACGR,Acacia greggi
33,ACCO,Acacia constricta
34,YUEL,Yucca elata
35,GUSA,Gutierrezia sarothrae
36,ZIAC,Zinnia
37,HAPP,Happlopappus
38,OPUN,Opuntia 
39,CHLO,Cholla
40,SHRB,mystery shrub
