Code Number,Species Name,Group
blank,Bare Ground (no data sheet entry),Bare
1,Acacia constricta,Shrub
2,Acacia greggii,Shrub
3,Allionia incarnata,Shrub
4,Amaranthus palmeri,Annual Forb
5,Ambrosia artemisifolia,Annual Forb
6,Ammocodon chenopodioides,Perennial Forb
7,Apondanthera undulata,Perennial Forb
8,Aristida adscensionis,Annual Grass
9,Aristida hamulosa,Perennial Grass
10,Aristida longiseta,Perennial Grass
11,Atriplex acanthocarpa,Shrub
12,Bahia absinthifolia,Perennial Forb
13,Bahia biternata,Annual Forb
14,Baileya multiradiata,Annual Forb
15,Boerhaavia coccinea,Perennial Forb
16,Boerhaavia intermedia,Annual Forb
16a,Boerhaavia sp.,Annual Forb
17,Boerhaavia torreyana,Annual Forb
17a,Boerhaavia coulteri,Annual Forb
18,Bothriochloa barbinodis,Perennial Grass
19,Bouteloua aristidoides,Annual Grass
19a,Bouteloua sp.,Annual Grass
20,Bouteloua barbata,Annual Grass
21,Bouteloua eriopoda,Perennial Grass
22,Brayulinea densa,Perennial Forb
23,Cassia bauhinioides,Perennial Forb
24,Cassia leptadenia,Annual Forb
25,Chenopodium fremontii,Annual Forb
26,Chloris virgata,Annual Grass
27,Cirsium neomexicanum,Annual Forb
28,Commelina erecta,Perennial Forb
29,Crotalaria pumila ,Annual Forb
30,Croton corymbulosa ,Annual Forb
31,Dalea brachystachys,Annual Forb
32,Dalea nana,Perennial Forb
33,Dalea pogonathera,Perennial Forb
34,Dichlostema pulchellum,Perennial Forb
35,Dithyrea wislizenii,Annual Forb
36,Dyssodia pentachaeta,Perennial Forb
37,Enneapogon desvauxii,Perennial Grass
38,Ephedra trifurca,Shrub
39,Eragrostis arida,Annual Grass
40,Eragrostis cilianensis,Annual Grass
41,Eragrostis lehmanniana,Perennial Grass
42,Erigeron divergens,Annual Forb
43,Eriochloa lemmoni,Annual Grass
44,Eriogonum abertianum,Annual Forb
e,Eriogonum abertianum,Annual Forb
45,Eriogonum polycladon,Annual Forb
46,Erodium cicutarium,Annual Forb
47,Euphorbia micromera,Annual Forb
48,Euphorbia serpyllifolia,Annual Forb
49,Euphorbia serrula,Annual Forb
50,Eurotia lanata,Shrub
51,Flourensia cernua,Shrub
52,Gutierrezia sarothrae,Shrub
53,Haplopappus gracilis,Annual Forb
54,Haplopappus spinulosus,Perennial Forb
55,Haplopappus tenuisectus,Perennial Forb
56,Hilaria mutica,Perennial Grass
57,Hoffmanseggia densiflora,Perennial Forb
58,Ipomoea costellata,Annual Forb
59,Kallstroemia grandiflora,Annual Forb
60,Lycium torreyi,Shrub
61,Lycurus phleoides,Perennial Grass
62,Machaeranthera tanreafolia,Annual Forb
63,Mollugo cerviana,Annual Forb
64,Mollugo verticillata,Annual Forb
65,Muhlenbergia porteri,Perennial Grass
66,Cholla,Shrub
67,Beavertail,Shrub
68,Panicum arizonicum,Annual Grass
69,Panicum hirticaule,Annual Grass
69a,Panicum sp.,Annual Grass
70,Panicum miliaceum,Annual Grass
71,Parthenicum incanum,Shrub
72,Pectis papposa,Annual Forb
73,Perezia nana,Perennial Forb
74,Polygala tweedyi,Perennial Forb
75,Portulaca parvula,Annual Forb
76,Portulaca suffrutescens,Perennial Forb
77,Proboscidea parviflora,Annual Forb
78,Rumex augustifolia,Annual Forb
79,Salsola kali,Annual Forb
80,Sanvitalia aberti,Annual Forb
81,Setaria macrostachya,Perennial Grass
82,Sida physocalyx,Perennial Forb
83,Sida procumbens,Annual Forb
84,Sida spinosa,Annual Forb
85,Sitanion hystrix,Perennial Grass
86,Solanum elaeagnifolium,Perennial Forb
87,Sphaeralcea laxa,Perennial Forb
88,Sporobolus contractus,Perennial Grass
89,Talinum angustissimum,Perennial Forb
90,Talinum aurantiacum,Perennial Forb
91,Tetraclea coulteri,Perennial Forb
92,Tidestromia lanuginosa,Annual Forb
93,Tragus berteronianus,Annual Grass
94,Trianthema portulacastrum,Annual Forb
95,Trichachne californica,Perennial Grass
96,Tridens pulchellum,Perennial Grass
97,Verbesina encelioides,Annual Grass
98,Yucca elata,Shrub
99,Zinnia grandiflora,Shrub
100,Zinnia pumila,Shrub
,,
r,Rock,Bare
d,Dead Plant,Annual Grass
m,Prosopis,Shrub
l,Plant Litter,Annual Grass
g,Unknown grass,Annual Grass
