Transect,Point,92P1,92P2,92P3,92P4,92P5,92P6,92P7,92P8,92P9,92P10,92P11,92P12,92P13,92P14,92P15,92P16,92P17,92P18,92P19,92P20,92P21,92P22,92P23,92P24
A,1 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,24 ,5 ,0 ,2 ,0 ,0 ,0 ,1 ,14 ,18 ,0 ,2 ,14 ,8 
A,2 ,15 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,3 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,14 ,18 ,0 ,14 ,0 ,8 
A,3 ,3 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,28 ,3 ,0 ,1 ,3 ,0 ,3 ,0 ,0 ,0 ,14 ,18 ,0 ,0 ,0 ,8 
A,4 ,3 ,0 ,9 ,0 ,0 ,2 ,0 ,0 ,28 ,3 ,1 ,1 ,3 ,0 ,3 ,0 ,0 ,18 ,1 ,18 ,2 ,0 ,0 ,8 
A,5 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,28 ,3 ,3 ,3 ,3 ,2 ,3 ,0 ,0 ,0 ,1 ,18 ,0 ,18 ,18 ,8 
A,6 ,0 ,2 ,3 ,0 ,0 ,1 ,0 ,0 ,28 ,3 ,3 ,3 ,3 ,2 ,3 ,0 ,1 ,0 ,1 ,18 ,0 ,2 ,50 ,8 
A,7 ,2 ,0 ,3 ,0 ,1 ,1 ,0 ,3 ,0 ,3 ,3 ,3 ,3 ,2 ,3 ,0 ,3 ,3 ,1 ,18 ,2 ,2 ,50 ,8 
A,8 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,3 ,3 ,3 ,3 ,0 ,3 ,2 ,3 ,0 ,1 ,3 ,3 ,18 ,2 ,2 ,50 ,9 
A,9 ,2 ,0 ,0 ,3 ,1 ,3 ,0 ,3 ,3 ,9 ,3 ,2 ,3 ,2 ,3 ,0 ,1 ,3 ,3 ,18 ,2 ,46 ,50 ,9 
A,10 ,2 ,0 ,0 ,3 ,1 ,3 ,0 ,4 ,3 ,9 ,1 ,2 ,0 ,1 ,3 ,0 ,24 ,0 ,2 ,5 ,2 ,46 ,2 ,9 
