Transect,Position,98P1,98P2,98P3,98P4,98P5,98P6,98P7,98P8,98P9,98P10,98P11,98P12,98P13,98P14,98P15,98P16,98P17,98P18,98P19,98P20,98P21,98P22,98P23,98P24
NE,1,,r,,,17,41,,55,,,,,41,,,,,95,*,,,,16,44
NE,2,,,,,,41,3,55,,,,,41,,,,,95,"*,41,89",,,,16,
NE,3,,,41,,,41,3,55,,,,,38,44,,16,,,"*,41,89",e,16,,89,
NE,4,,89,41,,,41,,55,90,,,,38,,,,,,41,,16,,"89,16",
NE,5,,"89,44",41,,,41,3,55,,l,,65,38,,,,,,41,,,16a,16,
NE,6,,,41,,41,41,,,,,,65,38,,,17,,,41,,,55,"89,16",
NE,7,,,41,,l,41,3,,,,,65,38,44,,,,,,,,,,
NE,8,,,41,r,l,41,3,,,31,,65,38,44,,1,44,,,,51,55,,44
NE,9,65,,41,44,,41,3,,,,,65,38,44,,1,,16,,,51,55,,
NE,10,65,,41,,41,41,l,16,,,,65,38,,,1,,16,,,"51,65",,,
NE,11,65,,41,,41,41,,17,55,,,65,38,,,1,,16,16,,65,,,44
NE,12,65,,,,41,41,,,55,,,,,,,1,l,16,41,,65,,,44
NE,13,65,,,,65,41,3,r,55,,1,16,,,,"1,96",l,,90,,65,,16,
NE,14,65,,,,"41,65",41,,,55,,1,16,41,,,1,l,,"90,41",,65,,,
NE,15,65,l,l,44,41,41,,17,55,16,1,,41,,,1,,,16,51,,,,
NE,16,65,l,l,44,41,41,l,44,55,"16,31",1,,41,,,1,,9,16,,,,,
NE,17,,,l,,41,41,,16a,55,,1,,41,,,1,l,9,16,,,,,
NE,18,,,l,,41,4,,,55,l,"1,16",16,41,,,,"65,44",9,16,65,,,,
NE,19,,l,l,,41,l,,,55,l,1,16,,,,,"65,44","9,65",,,,,,
NE,20,l,44,l,,41,l,3,,,,"1,52",16,,,,,65,65,16,,,,16,44
NE,21,9,l,41,,41,"90,92",,90,r,,"1,52",,41,,,,65,65,16,65,,,,
NE,22,9,44,"41,65",,41,90,,,r,,"1,52",,41,,,,65,65,16,65,,,,
NE,23,9,,65,44,41,90,90,,r,l,"1,52",16,,,,,65,65,16,65,,,,
NE,24,l,,65,44,41,19,l,,52,,"1,65",,,,,,65,65,16,65,,,,
NE,25,,44,65,44,41,,,,52,,"1,65",,,,,,65,65,"16,e",65,,,,
NE,26,,l,65,44,41,l,l,86,52,,"1,65",,41,44,,,65,,16,,,,,51
NE,27,r,l,65,,41,l,3,,,,"1,65",86,41,44,,,,,16,,,,16,51
NE,28,,,65,,41,,,,65,,"1,65",,41,44,,,44,,16,,,,,"51,88"
NE,29,l,,65,44,l,,l,,65,44,"1,65",,,,,,44,,16,,,,,"51,88"
NE,30,65,,65,,l,,3,,65,,"1,65",,,,,,,,16,,,55,,51
NE,31,65,,65,,l,65,,44,65,17,"1,65",,41,,,,,,16,,,55,,51
NE,32,l,,65,,l,65,,,65,16,"1,65",,41,,,,,,16,,,55,,
NE,33,,,l,,l,65,,l,65,16,"1,65",,41,,,,,,41,,,55,,
NE,34,,,,,,65,,l,65,31,"1,65",16,41,,,,44,,16,,,55,,
NE,35,,,,,,65,,l,65,l,l,16,,,,,,,16,,,55,,
NE,36,,,,,,65,,,65,16,16,,,,,,,,"16,41",,m,55,m,l
NE,37,,l,,l,,65,,,65,16,l,,41,,,,,,"16,41",,m,,m,
NE,38,,16,,44,,65,30,,65,,44,16,41,,,,44,,16,,m,,m,
NE,39,55,l,,44,,65,,,65,31,16,,41,,,,,,"16,28",,m,,m,
NE,40,55,,,,,l,30,55,,44,l,16,41,,,,,,8,,m,,m,44
NE,41,55,,,l,,41,,55,,,16,16,41,,,,,,16,,m,,m,l
NE,42,55,,,,41,41,,,,,l,16,41,,,,,,16,,m,,,
NE,43,55,,l,,41,41,,,,,16,16,41,,,,,,16,16,m,,16,51
NE,44,,,l,90,41,41,30,m,,,l,16,,,,,,,,16,m,,,51
NE,45,,16,55,,41,41,,44,,,l,16,,,,,,,"16,30",,m,,,51
NE,46,,16,"55,90",l,41,41,,,65,,l,16,,,,,,,59,,m,55,,51
NE,47,1,l,l,l,41,41,,,,,l,16,,,,,44,,,,m,,,51
NE,48,,44,l,l,41,41,,17,,,,16,,,,,,,,,m,,,51
NE,49,,l,l,,41,,,,,,,16,44,,,,l,,16,e,"m,25",,16,51
NE,50,,r,l,l,41,65,30,44,,,,16,,,,,,,,,,,16,51
NE,51,,r,41,,65,65,30,44,,,l,16,44,,,,,,29,,,,,51
NE,52,,r,41,,"1,65",65,,44,,19a,,16,,,,,,,16,53,,55,,l
NE,53,l,l,41,,"1,65",65,,,,,,16,,,,,,65,16,,,55,16,l
NE,54,,,,,"1,44,65",65,,r,,,,16,,,,,,65,16,,,,,"51,44"
NE,55,,,,,"1,41",65,l,r,,,,16,,,,31,,65,16,,m,,,"51,65"
NE,56,,90,,,"1,41",65,,,,,,"16,44",,,,,,65,16,,m,,89,
NE,57,l,,,16,"1,41",25,30,90,,,,16,,,,,r,65,16,,m,,,
NE,58,,,,l,41,25,,,,,,16,,,,,,65,"16,90",,m,,,l
NE,59,,,,,41,44,30,44,,,,16,,,,,44,,16,,m,,,
NE,60,l,,,,41,44,,,,,,"16,65",,,,,,,16,,m,,,
NE,61,44,,,,41,,30,,44,44,,"16,65",,,,,,,16,65,m,,16,
NE,62,44,1,,44,41,44,,,,31,,6,,,,,,,,,m,,,
NE,63,44,,90,,l,,l,17,,l,16,16,,,,,,,,,m,,16,
NE,64,44,,90,l,,l,30,,,,,16,,,,,,,,"38,65",m,,,
NE,65,1,,90,l,,"41,44",88,,,,l,16,,,,92,,,,"38,65",m,,16,
NE,66,1,,16,l,l,41,88,44,,16,l,"16,86",,,,,"44,96",,1,"38,65",m,,16,l
NE,67,,l,l,l,,41,,44,,16,l,16,"1,55",,,92,,,1,"38,65",,,19a,l
NE,68,,,l,,l,41,,,,44,16,16,,,,,,,1,"38,65",,,,
NE,69,,1,,l,,41,l,,,16,l,16,,,,92,,,1,65,,,89,
NE,70,,1,,,,41,,,65,l,l,,,,,,,,1,38,,,16,
NE,71,,1,l,l,41,41,,,65,17,l,16,,65,,,,,1,,,,,l
NE,72,,,,,41,41,,,65,,l,16,,"65,38",,,l,,,,,,,
NE,73,,,,l,41,41,,16,65,,16,,,"65,38",,65,l,65,,,,,16,
NE,74,,44,90,l,"41,90",41,,16,65,,16,,,"65,38",,65,l,,,,,,,
NE,75,52,44,41,l,90,41,,,,l,,,,"65,38",,"65,51",l,,,16,,,*,
NE,76,"52,90",44,41,,,41,,,,90,,86,,"65,38",,65,l,,,,,,,
NE,77,90,r,41,,41,41,1,17,,,,16,41,"65,38",,65,l,51,,,,,,
NE,78,17,r,"41,38",,41,41,1,17,,,,,41,"65,38",,65,"44,65",51,,,,,,
NE,79,17,r,38,,41,,1,,,,l,16,41,"65,38",44,65,,51,,,,,16,
NE,80,,44,38,,41,,1,"17,38",,"16,3",,16,41,"65,38",44,65,l,51,,,,,,
NE,81,,44,"38,44",,41,,,"17,38",,,l,16,1,"65,38",,,l,51,,,,,,
NE,82,l,44,38,,41,,,,,,l,16,1,65,,,l,51,,,,,,
NE,83,,"1,44",38,,,,3,,,,51,16,,65,,,65,,,,,,,
NE,84,,"1,44,38",44,,,19a,,65,,,"51,65",16,,65,,,65,,,,,,,
NE,85,92,"1,44,38",l,,,r,3,65,,92,"51,65",16,,,,,65,51,,e,,,,
NE,86,"92,17",38,l,,,,,"38,65",,16,"51,65",16,99,51,,,,51,16,e,,,,52
NE,87,17,38,,,100,,3,65,,16,"51,65",16,,51,,,l,,16,e,,,,52
NE,88,17,38,,65,,,3,,,l,"51,65","16,44",,65,,,51,,,,,,,52
NE,89,"92,17",38,,"38,65",,41,3,,,l,51,"16,44",,"65,51",,,51,,16,e,,55,41,"52,88"
NE,90,l,41,,65,,41,,,90,,51,16,"44,m",65,,,,,16,,,38,,88
NE,91,,41,90,"38,65",,41,,,,,1,"16,4",m,65,,,,,16,"e,88",,,16,88
NE,92,44,l,90,"38,65",,41,,,96,90,1,4,,65,,,44,,16,88,,,,44
NE,93,l,l,,"38,65",,41,,,,90,1,,m,"65,16",,,,,,"e,88",,,,
NE,94,,l,r,"38,65",,41,,16,52,38,1,16,"41,m",65,44,,,,33,,,,,
NE,95,,44,r,"25,38,65",,41,1,,52,38,1,16,41,,44,,44,,,,,,,44
NE,96,,r,,"25,38,65","41,100",41,,44,,38,1,,41,17,,,,,,,,,,
NE,97,,r,l,"25,38,65","41,100",,65,,90,38,l,,,,,,44,e,e,,16,,,
NE,98,,41,l,"38,65",41,r,l,,,38,l,,,,"65,38",17,44,,,16,,,16,88
NE,99,,41,l,65,41,,65,,,"38,28",,16,,,"65,38",,92,,,,16,,,88
NE,100,,41,r,65,l,44,l,,,38,,16,,,"65,38",,,,16,,,,,88
NE,101,16,,l,65,l,"41,44",l,,,38,,16,,,65,,,,16,,,,,88
NE,102,16,,l,65,100,,l,,,38,,16,,17,65,23,,,86,,,,16,
NE,103,16,r,l,,,l,,,,38,,16,,,"65,38",,44,,,,,,16,
NE,104,16,l,,,,41,,,44,,,"16,1",,,"65,38",,,,,,,,16,
NE,105,16,,,,,41,,16,,44,,1,,,65,,17,,e,,,,16,
NE,106,16,l,,41,41,41,52,,65,l,,"1,44",,,,,,,e,,e,,,
NE,107,16,1,l,"41,44",41,41,52,16,65,l,,"1,44",,17,,,,,e,41,,,,
NE,108,16,1,,44,41,l,52,,,l,l,1,,"44,92",,,44,,,"41,51",,,,
NE,109,16,"44,1",,"41,44",41,53,,,,l,l,"1,16",,,,,44,,e,"41,51",,,,
NE,110,16,1,41,"16,41",41,,,57,,l,,"1,16,98",,,,,,65,,41,,,,
NE,111,16,1,41,41,100,17,,55,55,l,l,"1,16",,,,,,65,23,41,,,,
NE,112,16,1,41,41,,"53,68",,"55,82",,,l,"1,16",31,,,92,,65,,,,,,
NE,113,16,1,41,41,,"68,92",,,,,l,16,,,,,,65,8,,,,,
NE,114,16,44,41,,r,68,,,,,65,16,,38,,,44,65,8,,,,,
NE,115,16,r,41,55,,l,,44,96,90,65,16,90,,,,,65,,,,,100,
NE,116,16,r,41,55,,,,44,,,65,"65,1",,,,,44,65,,,16,89,100,
NE,117,16,r,41,55,,,,44,,l,65,"65,1",,,,,44,,,,,52,100,
NE,118,16,,41,,,8,,,,l,65,1,,,,,,,16,,,,100,
NE,119,16,,l,l,,19a,,,,l,65,1,,,,,,,16,,16,55,100,
NE,120,"16,92",6,r,l,l,8,l,44,r,l,l,,,,,,,,8,,,,100,44
NE,121,"16,92",,l,l,,44,,44,,,l,44,,,44,,,,,,,,,88
NE,122,"16,92",l,l,l,,,,,,,65,,,,51,17,,,19a,,,,,88
