Transect,Position,98P1,98P2,98P3,98P4,98P5,98P6,98P7,98P8,98P9,98P10,98P11,98P12,98P13,98P14,98P15,98P16,98P17,98P18,98P19,98P20,98P21,98P22,98P23,98P24
NE,1,l,54,,,,,,,,,,,,,,52,,,52,52,,,,
NE,2,l,l,,,52,,,,52,,,16,,,,52,,,52,,,,,44
NE,3,l,l,,l,52,,,19a,52,44,,,,,, ,,,52,52,,9,48,
NE,4,,,,,,,,44,,,,16,,,,,,38,52,,,,,
NE,5,,,,,,1,l,17,,,,16,65,,e,,,38,52,,,,19a,
NE,6,,,,,,1,l,17,,,,16,65,,,,,,52,,,,,
NE,7,,,41,,,1,l,l,"52,90",,,,65,,,,,"65,51",52,,,58,,44
NE,8,92,,41,,65,l,l,l,,,,16,65,,,,,"65,51",52,,,,,
NE,9,,,41,,"55,65",,,l,,l,,16,65,,,,44,"65,51","52,41",,1,,,
NE,10,,,,,l,l,,l,,,,,65,,,,44,"65,51",52,,,,,
NE,11,r,,,,l,,,19a,,,,,65,,e,,10,"65,51",52,,,,,
NE,12,"92,16",,,,,96,,l,19,,,,65,,"e,38",,,65,,,,19a,,44
NE,13,16,,,,,l,,l,,90,,16,,90,38,,,,,,,,,
NE,14,l,,,,,,,l,,,,16,,g,"52,38",,44,,14,,,,,65
NE,15,,,41,,,,,,,,,,,,"52,38",,,,14,1,,,,"65,51"
NE,16,,,,,,44,,19a,,44,,44,,52,"e,38",,,,14,,1,,,"65,51"
NE,17,,l,41,92,,,,19a,,,,44,,52,,,,,,,1,,,"65,51"
NE,18,,l,41,,,,,19a,,41,,44,,,"m,38",,19a,65,,,1,,,"65,51"
NE,19,,,,,,l,,,44,,,60,,,,,l,65,,,,,,51
NE,20,,,,,,,,19a,,,,44,,,"m,38",,,65,,,,,,
NE,21,,96,,,,,,19a,l,,,,,,,,,65,,52,,,19a,
NE,22,,,,,,,,l,,,,16,1,,,,44,65,,,,,,52
NE,23,,96,,,,52,,30,44,l,,16,1,,,,,65,,,,16,19a,52
NE,24,,,44,,,52,,l,44,,,44,,16,,,,65,,,,,,
NE,25,,,44,,,52,,l,44,,,,,,,,,65,,,,,,
NE,26,,,,l,,,l,,44,,,,,,,,96,65,,,,19a,,
NE,27,,,41,,l,,l,30,44,69,,44,16,"29,90",,,,65,,e,,,,
NE,28,,,44,,,,l,l,,44,,,,90,,,,65,e,,,,,
NE,29,,,l,,,,1,,,44,,44,,,,,,65,,,,55,,
NE,30,,,52,,,,1,,,l,,,,,e,,,,,,,55,,
NE,31,,,52,,,,1,l,,,,,,,,,,,,,,55,,
NE,32,,,,,,,1,l,90,,,,,,,,,,,,,,,
NE,33,,,,,,,1,30,,44,,,,,,,,,,,,,,
NE,34,,,41,,,,1,,,44,,,,,,,,,,,,,,l
NE,35,,,41,38,,,1,,,,,44,,,,,44,,,,,e,,l
NE,36,16,,41,38,,,1,30,,r,,44,,,,,,,,51,,16,,92
NE,37,l,,41,,,,1,,44,,,,,,,,96,,,,,16,,
NE,38,l,,41,,16,,1,,44,,,44,44,,,,,,,51,,e,,
NE,39,"16,92",65,41,,,,r,,,,,,,,,,,,,51,,,,
NE,40,l,65,l,,,,,,,,,44,44,,,,,,,51,,,,41
NE,41,l,65,l,,,,,,,,,44,,,,,,,,51,,,48,41
NE,42,19a,65,,,,,16,,,,,16,,,,,,,,51,,,48,41
NE,43,19a,65,,,,,16,,,,,44,,,,,,,,,,55,,"41,51"
NE,44,,65,,,,,,l,,,,44,,,51,,,,,,,55,,41
NE,45,17,"1,65",,92,,,,l,,,,44,,90,51,,l,,,,,,,41
NE,46,,"1,65",,,,52,16,l,,,,"44,16",,90,51,,,,,,,,,51
NE,47,,"1,65",,l,l,52,16,55,,,,"44,16",,,51,52,,,,16,,,19,51
NE,48,l,1,,,l,52,l,55,,44,,16,,,51,,,,65,"16,e",,16,16,51
NE,49,,,,,r,52,,l,,,,1,,,51,,,,65,,,,16,51
NE,50,,1,,,,,,l,44,44,,1,,52,51,,,,65,,,,16,65
NE,51,,l,44,,,,16,l,,44,,1,,52,51,,,,65,,,,16,
NE,52,,,,,,,16,m,l,9,,1,,52,,,44,,65,,,,16,51
NE,53,,,,,65,,"1,16",1,,9,,1,,52,65,,,,65,,,16,,"51,65"
NE,54,92,44,52,10,65,,"1,16",1,,9,,44,1,,65,,,,"65,52",,,,,"51,65"
NE,55,l,,52,10,"48,65",,16,1,92,,,44,1,,,,,,52,,,,,65
NE,56,52,,52,10,,,16,1,r,72,,"44,16","1,m",,,,,,52,,1,16,,65
NE,57,52,44,,l,,,16,l,,,,44,1,,,,,,,,1,16,,65
NE,58,,,52,,16,96,,l,,,,44,1,,,,,,,,,,,
NE,59,l,44,52,,l,r,,l,92,,,44,1,,,,,,,,65,e,,44
NE,60,r,,52,,,r,,,,l,,44,1m86m44,,,,"44,1",,,,65,16,,"44,1"
NE,61,16,,,,,55,,,l,44,,44,1m86,,,65,"44,1",,,16,65,16,,1
NE,62,r,,,,,,,92,l,,,44,1,,18,65,"44,1",,,,"1,65",e,,1
NE,63,,,,,,,,19a,l,44,,44,1,,18,65,44,,,,1,55,,1
NE,64,,,,,,,,l,65,44,,,1,,18,"65,38",44,,,,1,55,,1
NE,65,,44,,,,,,,65,44,,,1,,18,"65,38",44,51,,,1,55,,1
NE,66,,44,,90,,,l,16,65,,,,1,,18,"65,38",,,,,1,16,,44
NE,67,,44,,90,,,l,16,65,l,,,1,,18,"65,38",,,,e,1,16,,65
NE,68,17,44,,,,l,l,"16,38",65,44,,,1,,18,"65,38",,e,,e,g,16,,65
NE,69,,,,,,,l,l,38,l,,16,1,,18,"65,38",,e,52,,,,,65
NE,70,,r,,,,,,38,38,,,16,,,"1,18","65,38",,51,,,,16,92,65
NE,71,44,l,,,96,r,l,"38,65",38,r,,,,,"1,18","65,38",44,51,,,,16,,65
NE,72,l,r,,,96,,,"38,65",38,,,44,,,"1,18",65,,51,,,,16,,"65,1"
NE,73,92,44,,,96,,44,"38,65",38,,,44,,,"1,18","65,51",,,,,,16,,"65,1"
NE,74,92,l,,,,,,"38,65",38,,,44,,,18,65,,,,,52,"16,51",,"65,1"
NE,75,,l,,,,,,"38,65",38,,,44,,,18,65,,,,16,"52,1","16,92,51",,"65,1"
NE,76,,,l,44,8,r,,38,"38,m",,,"44,16",,,18,,44,e,,,,"16,51",,"65,1"
